Individu;Edat;Sexe
771;35;Dona
772;74;Dona
773;54;Home
774;50;Dona
775;62;Home
776;56;Dona
777;40;Dona
778;37;Dona
779;67;Home
780;68;Dona
781;40;Home
782;37;Home
783;81;Home
784;78;Dona
785;53;Dona
786;48;Home
787;69;Home
788;62;Dona
789;40;Dona
790;36;Home
791;58;Home
792;55;Dona
793;67;Home
794;62;Dona
795;40;Home
796;38;Dona
797;82;Home
798;81;Dona
799;42;Dona
800;86;Dona
801;61;Home
802;60;Dona
803;36;Home
804;71;Dona
805;68;Dona
806;78;Home
807;63;Home
808;35;Home
809;65;Home
810;61;Dona
811;62;Home
812;59;Dona
813;36;Dona
814;66;Dona
815;58;Home
816;56;Dona
817;69;Home
818;66;Dona
819;39;Dona
820;61;Home
821;59;Dona
822;37;Home
823;71;Dona
824;68;Home
825;61;Dona
826;34;Dona
827;38;Home
828;89;Dona
829;62;Home
830;57;Home
831;52;Home
832;55;Dona
833;66;Home
834;62;Dona
835;42;Dona
836;67;Home
837;58;Home
838;56;Home
839;57;Dona
840;52;Dona
841;53;Home
842;57;Home
843;55;Home
844;51;Home
845;50;Home
846;48;Home
847;82;Dona
848;56;Dona
849;54;Dona
850;42;Dona
851;78;Home
852;51;Home
853;83;Dona
854;53;Home
855;47;Home
856;35;Home
857;75;Home
858;66;Dona
859;42;Home
860;59;Home
861;60;Dona
862;39;Home
863;78;Dona
864;51;Dona
865;47;Home
866;45;Dona
867;69;Dona
868;55;Dona
869;47;Home
870;76;Home
871;78;Dona
872;51;Home
873;48;Dona
874;41;Dona
875;62;Dona
876;42;Home
877;81;Home
878;80;Dona
879;53;Dona
880;48;Dona
881;85;Home
882;49;Dona
883;83;Home
884;67;Dona
885;56;Dona
886;54;Dona
887;52;Dona
888;49;Home
889;55;Home
890;47;Dona
891;46;Home
892;34;Home
893;92;Dona
894;65;Home
895;56;Home
896;53;Home
897;56;Dona
898;53;Dona
899;51;Dona
900;53;Dona
901;45;Home
902;74;Home
903;71;Dona
904;49;Dona
905;47;Home
906;37;Home
907;66;Home
908;44;Home
909;40;Dona
910;90;Home
911;54;Home
912;53;Home
913;61;Dona
914;36;Home
915;71;Home
916;69;Dona
917;43;Home
918;57;Home
919;55;Dona
920;55;Home
921;54;Home
922;89;Home
923;86;Dona
924;61;Home
925;57;Home
926;73;Dona
927;87;Dona
928;47;Home
929;57;Home
930;78;Dona
931;57;Dona
932;52;Dona
933;50;Dona
934;45;Dona
935;42;Home
936;56;Home
937;90;Dona
938;65;Home
939;49;Dona
940;44;Home
941;42;Dona
942;54;Home
943;73;Dona
944;60;Home
945;53;Dona
946;34;Dona
947;87;Home
948;51;Dona
949;60;Dona
950;36;Dona
951;84;Home
952;46;Home
953;40;Dona
954;60;Home
955;61;Dona
956;70;Home
957;75;Home
958;69;Dona
959;49;Dona
960;46;Dona
961;42;Dona
962;69;Home
963;70;Dona
964;39;Dona
965;51;Dona
966;40;Dona
967;35;Home
968;54;Home
969;56;Dona
970;56;Home
971;45;Dona
972;56;Home
973;55;Home
974;83;Dona
975;83;Home
976;80;Dona
977;67;Dona
978;43;Home
979;41;Home
980;43;Dona
981;38;Dona
982;36;Home
983;61;Home
984;61;Dona
985;34;Home
986;49;Dona
987;79;Dona
988;51;Dona
989;41;Dona
990;54;Dona
991;36;Home
992;89;Dona
993;57;Home
994;53;Home
995;62;Home
996;59;Dona
997;39;Dona
998;36;Home
999;62;Home
1000;64;Dona
1001;38;Home
1002;35;Dona
1003;66;Home
1004;64;Dona
1005;40;Home
1006;62;Dona
1007;38;Dona
1008;36;Dona
1009;55;Dona
1010;60;Home
1011;58;Dona
1012;51;Home
1013;46;Home
1014;80;Dona
1015;64;Home
1016;58;Dona
1017;83;Dona
1018;55;Dona
1019;53;Dona
1020;57;Home
1021;80;Dona
1022;57;Dona
1023;54;Dona
